County	AMERICANINDIANANDNATIVEALASKAN	15-19YEARSOLD	COLLEGEDEGREE(PERCENT)	POPULATIONTOTAL	OTHERRACE	HISPANICORLATINOPOPULATION	HIGHSCHOOLGRADUATEONLY(PERCENT)	MEDIANHOUSEHOLDINCOME	PERSONSINPOVERTY	20-34YEARSOLD	ASIANANDPACIFICISLANDERPOPULATION	TOTALEMPLOYMENT	INCIVILIANLABORFORCE	35-59YEARSOLD	FEMALEPOPULATION	TOTALUNEMPLOYMENT	BLACKORAFRICANAMERICANPOPULATION	60-74YEARSOLD	75YEARSPLUS	WHITEPOPULATION	
ELK	28.0105	-739.6683	6.0761	-5115.0428	31.3900	66.2316	-2.3178	27411.3296	9663.6808	-19599.1166	6.8148	-1548.0855	-1630.2240	-974.2954	-2665.8998	24.7859	183.7459	341.3298	307.1795	-4550.0878	15.382993799999994
ELK	-18.9664	-746.0782	8.9513	-5208.7844	17.1152	-1.1995	-53.2069	20538.3954	9607.3071	-29801.9269	-30.2233	-1487.6871	-1591.2489	-1987.0433	-2661.1193	26.1379	115.0071	482.2290	5.3439	-4464.7975	15.38949006
ELK	-88.7192	-752.5363	11.1344	-5303.2287	-1.1116	-99.4691	-152.1081	12396.0759	9550.5700	-45005.0803	-75.7172	-1427.2213	-1552.1734	-3084.9865	-2656.3172	27.4948	-14.2732	619.6841	-329.4266	-4379.3097	23.008806209999996
ELK	-191.8853	-759.0118	12.7830	-5397.9263	-24.2856	-242.1147	-343.6693	2792.3900	9493.7401	-67570.7401	-131.3557	-1366.9784	-1513.1848	-4269.8098	-2651.5163	28.8500	-256.5793	753.1281	-699.0353	-4294.0345	12.240732109999996
LEHIGH	4637.2688	10419.4929	12.6706	88331.3869	41214.9889	92238.7433	14.3008	56580.4527	-270743.6160	-32489.7268	14532.1171	27305.2879	36607.4665	44835.6321	43878.3129	9860.8286	35192.9747	9446.9717	9237.7632	18868.4154	-10.530579619999997
LEHIGH	4438.6922	9544.2261	11.3063	80235.7916	38274.6170	87507.8056	9.6034	52740.3905	-278265.6671	-14417.9405	13397.6491	21356.4453	30352.8832	37063.6058	39876.3481	9570.7945	33310.1655	11005.0291	7134.2051	16983.0230	8.64880049
LEHIGH	4087.6325	8620.5062	9.8363	71866.4894	34196.5535	81079.2407	3.6492	48402.0338	-286032.3288	481.9707	11863.7666	15127.6424	23805.2401	28543.6781	35744.5802	9268.8486	30837.8496	12512.2810	4775.3310	15074.0395	3.266286319999999
LEHIGH	3469.5288	7650.8540	8.2610	63260.8869	28566.8342	72384.8319	-3.8613	43525.9973	-294008.2820	12692.6771	9799.5949	8640.6518	16987.5390	19252.7819	31501.8190	8956.1911	27606.9470	13962.2562	2143.8444	13151.7024	-1.9505617899999947
LEHIGH	2388.0548	6637.9744	6.5810	54455.2392	20838.5405	60691.0847	-13.2842	38073.4185	-302159.4549	22656.2455	7037.1550	1917.7541	9923.2952	9171.7486	27166.2046	8634.0180	23407.7093	15350.5851	-776.9363	11225.2127	-2.5836830000000006
LEHIGH	477.1164	5569.7403	4.7723	45358.0444	10126.2521	44810.5654	-25.2210	31917.2916	-310569.9926	30864.8363	3304.3421	-5116.7942	2533.0325	-1872.1137	22692.9992	8298.8395	17896.9979	16692.7027	-4050.0926	9275.9527	4.202849400000005
LEHIGH	-2887.4347	4448.3880	2.8338	36003.9977	-4661.9379	23332.7197	-40.2779	24998.1970	-319207.1726	37591.9026	-1718.9673	-12442.9289	-5162.0420	-13915.3354	18099.6284	7951.7705	10695.4212	17983.8188	-7701.5242	7313.0574	0.28027836000000406
WASHINGTON	1224.0952	-330.9708	20.4598	6320.7440	864.1627	2580.7508	26.2885	64199.7644	-198807.5474	-10435.9766	2232.3433	12671.5611	15029.3445	16007.6652	836.7901	2463.9390	2971.9752	14348.3738	4512.8484	4133.6259	23.08226673
WASHINGTON	1120.7604	351.5082	18.6701	6995.1312	771.1832	2587.1618	19.6071	60148.4756	-198462.7554	-6826.4842	2075.7765	9654.7399	12070.2501	12019.9923	1324.3777	2574.8085	2671.9621	12368.8960	3024.7192	4941.0504	34.45841394999999
WASHINGTON	953.5885	1005.9312	16.6222	7670.9875	637.1686	2593.5732	9.0063	55388.7696	-198116.6689	-3500.2271	1868.2052	6517.0682	9000.8571	7748.7433	1812.4026	2684.2219	2356.7183	10191.9370	1364.9525	5749.5793	24.780282279999994
WASHINGTON	684.2984	1629.9385	14.2908	8344.6063	444.8864	2599.9498	-7.7406	49825.0370	-197771.1844	-452.4805	1594.3207	3271.2506	5834.1953	3197.9888	2298.1881	2791.6023	2027.2426	7810.3106	-476.6395	6554.7778	16.289584429999998
